compression,batchSize,linger,n_topics,fetch_time,Throughput,Latency
snappy,68868,83,20,20806,18.62916666666667,0.9722965194109751
None,28102,41,5,11905,21.563636363636363,0.7535667396061253
None,111285,16,15,26280,20.602739726027394,1.0124072547403122
snappy,215378,30,20,7032,19.703157894736844,0.9133227695487436
None,129174,91,19,22141,21.262365591397852,0.9881723325479616
gzip,68624,51,10,3223,16.69473684210526,0.8209602076124568
None,185254,50,17,14665,22.00238095238095,0.9499357562408228
snappy,247501,39,3,28234,18.055555555555557,0.6966623255813952
gzip,196441,33,18,4550,19.492134831460678,0.9157325787053389
None,217278,11,5,27089,19.21764705882353,0.8598382038488936
snappy,207568,62,5,18540,14.675862068965516,0.7378247496423458
gzip,54683,47,11,17964,18.346428571428568,0.8481890672016066
gzip,77914,90,17,11463,18.275609756097566,0.9390955772113962
None,135871,1,5,18070,18.80606060606061,0.871790948275862
gzip,4843,92,1,15631,12.91,0.689773262032086
gzip,39666,100,1,11516,10.341176470588236,0.6825015873015859
None,253817,73,16,17728,21.217721518987343,0.8995510679611646
snappy,137258,64,2,25914,16.0875,0.671700497512439
snappy,259363,4,14,22837,19.274285714285714,0.9054435040203134
None,50144,91,19,20238,20.719565217391306,1.004583043780403
None,110828,32,8,3920,20.951111111111118,0.8863519619500595
gzip,222472,43,10,6560,16.97222222222222,0.8214689737470178
snappy,23175,88,8,18768,17.586363636363636,0.7770942956926657
gzip,73494,87,1,9772,12.559999999999999,0.6687301587301585
gzip,208746,24,15,29654,27.73157894736842,0.9502775935575565
None,179751,22,1,21400,17.630000000000003,0.6590582010582021
snappy,38587,2,8,27589,19.072727272727274,0.7365241176470583
None,229082,49,4,8600,20.75862068965517,0.7386200631911524
snappy,49778,35,10,19896,25.896551724137932,0.8512669441141484
gzip,120301,100,8,13283,17.368181818181817,0.7892132309509738
gzip,233354,32,7,14474,18.276190476190475,0.7758684863523589
snappy,202095,78,13,10853,16.144827586206898,0.8365818341377801
gzip,213966,71,10,22678,23.419354838709676,0.8194240282685514
gzip,118284,10,1,23591,13.309999999999997,0.6370370762711858
None,132880,7,19,23735,19.72421052631579,0.9830911592707243
None,56415,81,6,21518,19.705263157894734,0.7741790744466787
snappy,61683,10,18,6827,26.756521739130434,0.9742648494711138
gzip,5161,25,18,29177,26.900000000000002,1.012860251046025
gzip,222601,78,15,24308,18.597368421052636,0.8813729476153253
None,256632,77,15,16840,20.97721518987342,0.9072109117539355
None,234362,55,12,20484,30.313513513513517,0.8468113580246925
snappy,127486,4,17,2654,19.858139534883726,0.9643107769423547
snappy,77223,61,10,5525,24.55625,0.8535954323001631
None,123827,53,6,9666,21.60526315789474,0.7595765340525957
None,104112,8,19,11999,27.42916666666667,1.0960391999999954
gzip,226283,10,6,18052,18.147368421052633,0.7810443285528026
gzip,248311,79,20,2573,18.717171717171716,0.9291866322247309
None,142429,61,18,15966,22.37752808988764,0.9132666434297679
gzip,181239,18,3,21214,15.069230769230769,0.668049956933678
snappy,128424,43,2,294,14.017391304347823,0.6558674928503337
None,204533,74,19,22475,21.113043478260867,0.9738647260274005
snappy,8359,87,19,20578,19.127659574468083,0.9432221506761113
None,91408,33,1,18718,18.700000000000003,0.6752857142857149
gzip,86085,77,14,11570,18.19718309859155,0.8765148005147995
snappy,257823,16,1,11145,14.059999999999999,0.6376945917285268
None,224813,40,15,6618,30.805263157894736,0.9201087804878059
snappy,246933,27,6,28821,22.765217391304343,0.7838807749627416
snappy,87618,3,5,13343,21.904761904761905,0.711535031847134
None,208436,52,4,20742,21.32,0.7267843601895738
None,256377,13,12,1096,20.19,0.8933566299664916
snappy,82765,40,15,19458,26.372972972972974,0.9075955917585051
gzip,210206,26,12,8069,19.576666666666664,0.7950510879848626
snappy,141281,87,17,10408,18.546341463414635,0.9401660348749057
None,130048,31,19,29520,20.94945054945055,0.9769122434536458
gzip,63022,57,8,18619,17.736363636363635,0.7580960518562174
None,235696,19,16,12858,20.72820512820513,1.0110745735819133
gzip,79265,61,19,4836,18.828888888888887,0.9383198465294724
None,208843,65,19,2927,21.556043956043958,0.9819404929577459
None,90424,44,10,19078,22.053846153846152,0.8425771065182835
gzip,61400,17,13,54,19.678124999999998,0.8295365410803456
snappy,244789,6,2,19974,15.08695652173913,0.6346219512195114
snappy,154322,27,17,22815,19.18292682926829,0.9422916192643171
gzip,113940,84,20,9081,18.347368421052632,0.9456319207108659
snappy,73387,23,18,18670,19.265116279069765,0.9675069904341438
snappy,229322,11,17,7903,19.567901234567902,0.9279403097846612
snappy,139505,18,5,6763,22.066666666666666,0.7188383280757087
None,183706,77,1,11597,18.079999999999995,0.67148783068783
snappy,197628,99,7,20471,21.224999999999998,0.7815257223396764
snappy,204362,34,1,18800,13.830000000000004,0.6459154334038054
gzip,259067,16,3,13525,12.542857142857141,0.6621888175985333
gzip,149017,73,17,5928,18.65432098765432,0.9225313807531401
None,5858,22,6,27535,19.483333333333334,0.8066372881355933
gzip,106302,4,2,27843,14.408695652173913,0.6393535545023686
snappy,98128,22,12,27605,19.57,0.8545658840440806
